 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0930
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.7460
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           947
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
   319        0.0005        0.7460        1.0339        0.7713      -98.9795      -98.9795
   320        0.0068        0.7460        1.0351        0.7722      -98.9795      -98.9795
   321        0.0103        0.7460        1.0379        0.7743      -98.9795      -98.9795
   322        0.0015        0.7460        1.0379        0.7743      -98.9795      -98.9795
   323        0.0004        0.7460        1.0379        0.7743      -98.9795      -98.9795
   324        0.0002        0.7460        1.0379        0.7743      -98.9795      -98.9795
   325        0.0008        0.7460        1.0379        0.7743      -98.9795      -98.9795
   326        0.0062        0.7460        1.0388        0.7749      -98.9795      -98.9795
   327        0.0010        0.7460        1.0388        0.7749      -98.9795      -98.9795
   328        0.0020        0.7460        1.0388        0.7749      -98.9795      -98.9795
   329        0.0009        0.7460        1.0388        0.7749      -98.9795      -98.9795
   330        0.0006        0.7460        1.0388        0.7749      -98.9795      -98.9795
   331        0.0039        0.7460        1.0389        0.7750      -98.9795      -98.9795
   332        0.0057        0.7460        1.0396        0.7755      -98.9795      -98.9795
   333        0.0011        0.7460        1.0396        0.7755      -98.9795      -98.9795
   334        0.0004        0.7460        1.0396        0.7755      -98.9795      -98.9795
   335        0.0158        0.7460        1.0457        0.7801      -98.9795      -98.9795
   336        0.0009        0.7460        1.0457        0.7801      -98.9795      -98.9795
   337        0.0009        0.7460        1.0457        0.7801      -98.9795      -98.9795
   338        0.0014        0.7460        1.0457        0.7801      -98.9795      -98.9795
   339        0.0014        0.7460        1.0457        0.7801      -98.9795      -98.9795
   340        0.0003        0.7460        1.0457        0.7801      -98.9795      -98.9795
   341        0.0043        0.7460        1.0459        0.7803      -98.9795      -98.9795
   342        0.0116        0.7460        1.0494        0.7829      -98.9795      -98.9795
